voterID,voteTime,pollID,"Lincoln Chafee","Vermin Supreme","Jo Jorgensen ","Dan Behrman","Sam Robb","John McAfee","Mark Whitney","Arvin Vohra","Max Abramson","Ken Armstrong ","Keenan Dunham","John Monds","Erik Gerhardt","Souraya Fass","Jedi Hill","Ben Leder","Jacob Hornberger","James Ogle","Sorinne Ardeleanu"
ne15yst49z,"2020-02-11 23:59:16",9xrw9wch,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0
cwxckkprh6,"2020-02-12 01:09:26",9xrw9wch,0,3,1,0,0,2,0,0,1,5,0,0,0,0,0,0,3,0,0
zawefc75s7,"2020-02-12 01:18:27",9xrw9wch,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0
ph3xa9manr,"2020-02-12 01:36:44",9xrw9wch,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ydt22acxnf,"2020-02-12 02:01:55",9xrw9wch,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nzkxmxh6zp,"2020-02-12 03:28:37",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6229mwf3nm,"2020-02-12 04:02:21",9xrw9wch,2,0,3,3,3,0,3,4,3,2,2,3,4,2,3,3,5,3,2
yxsxnk2aps,"2020-02-12 04:08:33",9xrw9wch,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sce97h2m1x,"2020-02-12 04:24:37",9xrw9wch,0,5,0,3,0,5,3,3,2,0,0,0,0,0,0,0,4,0,0
p2t9xdrcda,"2020-02-12 04:43:16",9xrw9wch,4,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1
pkypfera1s,"2020-02-12 04:49:10",9xrw9wch,3,0,3,0,0,0,0,0,0,1,0,4,0,0,1,0,3,0,0
sne7kz9td1,"2020-02-12 05:16:11",9xrw9wch,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zsyy7mfnch,"2020-02-12 05:31:01",9xrw9wch,2,3,3,4,3,2,0,2,3,3,0,0,0,3,2,4,4,0,0
ddnz3y9ptr,"2020-02-12 05:43:51",9xrw9wch,3,1,3,3,4,1,2,1,5,4,2,2,2,3,3,2,5,2,2
6k4kr5ee95,"2020-02-12 06:01:45",9xrw9wch,0,4,0,4,0,5,4,0,0,3,0,0,0,0,0,0,5,0,0
12c24pdsdz,"2020-02-12 06:04:01",9xrw9wch,1,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0
thrzxczh7f,"2020-02-12 06:51:17",9xrw9wch,0,0,5,0,5,0,1,0,0,0,0,5,0,1,0,0,5,0,0
3wdwz3f664,"2020-02-12 07:19:18",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
chsycr5dzk,"2020-02-12 07:20:43",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
s2dcnmkrzd,"2020-02-12 07:21:34",9xrw9wch,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
z1kzdnsc29,"2020-02-12 07:22:31",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
w2fneeecca,"2020-02-12 07:23:01",9xrw9wch,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,5,0,0
dsm1e95e7h,"2020-02-12 07:23:30",9xrw9wch,0,1,1,2,0,0,4,0,0,3,0,0,0,3,0,0,5,0,0
9wpsexf9se,"2020-02-12 07:42:42",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
34c5s937fr,"2020-02-12 08:03:36",9xrw9wch,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
zarrzdzmhd,"2020-02-12 08:18:42",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yzndeexcnx,"2020-02-12 09:38:09",9xrw9wch,5,1,2,1,1,0,0,0,3,2,0,1,0,0,0,0,1,0,0
dw4w27p7r1,"2020-02-12 09:44:39",9xrw9wch,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
erdtwdkhfw,"2020-02-12 10:31:07",9xrw9wch,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ar32f2nmry,"2020-02-12 10:44:37",9xrw9wch,0,0,2,0,0,0,3,0,0,3,0,5,0,0,0,0,2,0,0
6cmadpchyt,"2020-02-12 14:46:10",9xrw9wch,4,0,5,0,0,3,0,5,0,0,0,0,4,0,0,0,0,4,0
kc5zfkz9tm,"2020-02-12 16:04:29",9xrw9wch,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
22xhrpecx9,"2020-02-12 17:26:07",9xrw9wch,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pz1h4ce3pw,"2020-02-12 18:39:11",9xrw9wch,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
era7czsp3d,"2020-02-12 18:46:29",9xrw9wch,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0
kxkr7hpxfm,"2020-02-12 19:36:20",9xrw9wch,3,0,4,1,1,0,3,1,2,1,1,4,1,1,1,1,4,0,2
5d53ezrz1c,"2020-02-12 21:12:00",9xrw9wch,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
rha419x5h1,"2020-02-12 21:18:26",9xrw9wch,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt3t62w7z9,"2020-02-12 21:39:51",9xrw9wch,0,1,1,3,1,2,3,0,0,1,0,2,0,1,0,0,5,0,2
w5r37cmk7k,"2020-02-12 21:45:52",9xrw9wch,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
x6fwyhwr3t,"2020-02-12 21:52:04",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3fz6h46kk3,"2020-02-12 21:55:18",9xrw9wch,0,2,1,1,1,3,1,0,1,1,1,1,1,1,1,1,5,1,1
t5a5kytyzn,"2020-02-12 22:19:44",9xrw9wch,0,5,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
he46scmf2h,"2020-02-12 22:32:58",9xrw9wch,0,5,1,4,0,3,3,0,0,3,0,3,0,0,0,0,3,0,0
a4epk5c7yk,"2020-02-12 22:38:16",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
xs14herkmn,"2020-02-12 22:38:19",9xrw9wch,0,5,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
zd93dh2443,"2020-02-12 22:45:38",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r9zxf2rfsr,"2020-02-12 22:51:35",9xrw9wch,0,5,0,4,0,1,3,0,0,2,0,2,0,0,0,0,2,0,0
t6kcc4t56x,"2020-02-12 23:04:24",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1x5d5x1f79,"2020-02-12 23:05:03",9xrw9wch,0,5,4,4,3,1,3,3,1,2,3,3,3,3,3,2,1,3,3
9ynsr4e9t6,"2020-02-12 23:16:47",9xrw9wch,0,0,0,2,0,1,0,0,1,0,0,5,0,0,0,0,4,0,0
pa2xrd5y3t,"2020-02-12 23:21:11",9xrw9wch,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0
z6ffyfp2aw,"2020-02-12 23:24:20",9xrw9wch,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2tthwnwt12,"2020-02-13 00:02:41",9xrw9wch,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4x9f2reka3,"2020-02-13 00:44:45",9xrw9wch,0,5,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
nd9a43anne,"2020-02-13 02:02:19",9xrw9wch,0,5,0,4,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0
t6rp3p7x32,"2020-02-13 02:11:46",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5zf327633,"2020-02-13 02:12:39",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7r9ndsnz5k,"2020-02-13 02:43:39",9xrw9wch,1,5,2,3,3,3,4,2,1,2,1,2,1,2,3,1,2,1,1
p9m5nwaetk,"2020-02-13 02:55:59",9xrw9wch,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0
wt95tsfaz9,"2020-02-13 03:07:18",9xrw9wch,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6sraypy2kr,"2020-02-13 04:05:51",9xrw9wch,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
xszff342xz,"2020-02-13 04:22:13",9xrw9wch,5,1,5,0,0,2,2,0,0,2,0,5,0,1,0,0,3,0,0
7myax6az75,"2020-02-13 04:28:10",9xrw9wch,0,3,2,4,2,0,0,3,1,2,1,3,0,2,0,0,5,0,1
pxtyprfy21,"2020-02-13 04:33:27",9xrw9wch,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
fyk25fx9sc,"2020-02-13 04:45:58",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4xexn4m44h,"2020-02-13 04:48:44",9xrw9wch,1,1,3,4,3,1,4,3,3,0,2,0,0,0,0,0,5,0,0
c1s9r2p1n5,"2020-02-13 05:38:46",9xrw9wch,0,5,0,4,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0
nkfkhzkck4,"2020-02-13 06:13:14",9xrw9wch,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1cknhn49td,"2020-02-13 06:27:35",9xrw9wch,1,5,3,2,1,1,2,2,0,1,0,4,0,0,0,0,3,0,0
ae7y75f9hd,"2020-02-13 07:53:15",9xrw9wch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
rt4natser4,"2020-02-13 08:06:06",9xrw9wch,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
dm1413n91w,"2020-02-13 08:07:52",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdemxths3s,"2020-02-13 08:08:41",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z9akhasy1w,"2020-02-13 08:08:52",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y444624w2n,"2020-02-13 08:09:23",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x42rmk9nmy,"2020-02-13 08:10:09",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ymd3f64y9d,"2020-02-13 08:10:17",9xrw9wch,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0
6tk9aeazkm,"2020-02-13 08:10:22",9xrw9wch,0,5,3,3,2,4,3,2,3,0,0,0,0,0,0,2,3,0,0
16hy9tx3ap,"2020-02-13 08:11:15",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fhre9z2tx7,"2020-02-13 08:11:44",9xrw9wch,0,5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
97n55eatat,"2020-02-13 08:11:47",9xrw9wch,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
pxfddep7zz,"2020-02-13 08:11:48",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54ker3xw9z,"2020-02-13 08:12:07",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cn6emwdhx,"2020-02-13 08:12:16",9xrw9wch,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
rdwtc42pm9,"2020-02-13 08:12:39",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
fnpcp3h9wn,"2020-02-13 08:12:41",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s69642ycha,"2020-02-13 08:12:41",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4emh6an3ch,"2020-02-13 08:12:42",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c6hnkdfwsn,"2020-02-13 08:12:47",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m9s3aymz4r,"2020-02-13 08:13:08",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he64dnkwxn,"2020-02-13 08:13:14",9xrw9wch,1,5,0,3,0,5,0,4,0,0,0,0,0,0,0,0,4,0,0
2ztspta4ea,"2020-02-13 08:13:52",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nk5s117c2w,"2020-02-13 08:14:28",9xrw9wch,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,5,0,0
25fw6y17xk,"2020-02-13 08:15:01",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5rdf2775w,"2020-02-13 08:15:02",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1yhzyrm2dd,"2020-02-13 08:15:06",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zfs416cnzt,"2020-02-13 08:15:20",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fasz4mhwdh,"2020-02-13 08:15:25",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfat9nzs3z,"2020-02-13 08:15:35",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7wra6hkew,"2020-02-13 08:15:47",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7sy4ha97fk,"2020-02-13 08:17:12",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nwac7r4akz,"2020-02-13 08:17:52",9xrw9wch,1,5,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,2,1
d2t3x4ps5s,"2020-02-13 08:18:15",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zxn24wcszp,"2020-02-13 08:18:26",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r74zpapast,"2020-02-13 08:18:29",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ym5fn4fn9r,"2020-02-13 08:18:36",9xrw9wch,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pnkyrac369,"2020-02-13 08:18:43",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mfrt2xc2we,"2020-02-13 08:18:54",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsx2d52hx2,"2020-02-13 08:19:20",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
px1yf5nrw6,"2020-02-13 08:19:23",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
py4s1fpkh6,"2020-02-13 08:19:54",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w1mc3ry369,"2020-02-13 08:20:25",9xrw9wch,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
7d1wdmc65m,"2020-02-13 08:20:50",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4hrfxrr66,"2020-02-13 08:20:53",9xrw9wch,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
td6mf4p4ha,"2020-02-13 08:21:07",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r44xppsstd,"2020-02-13 08:21:10",9xrw9wch,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
drdzrpryyf,"2020-02-13 08:21:16",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eykfpcswm1,"2020-02-13 08:21:58",9xrw9wch,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
3aykh9ws7n,"2020-02-13 08:22:03",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pp59k317et,"2020-02-13 08:22:08",9xrw9wch,0,5,0,3,0,5,3,3,0,0,0,0,0,0,0,0,4,0,3
mecnfp1f1a,"2020-02-13 08:22:18",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aw975dxf3s,"2020-02-13 08:22:30",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fdwss6smr2,"2020-02-13 08:22:41",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rsandpw9yr,"2020-02-13 08:22:47",9xrw9wch,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
h2rwaytp3h,"2020-02-13 08:22:59",9xrw9wch,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
rkrw322kpz,"2020-02-13 08:23:15",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fzrxc7ch9w,"2020-02-13 08:25:00",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re3tftmpk7,"2020-02-13 08:25:01",9xrw9wch,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
z4csw9nfmy,"2020-02-13 08:25:27",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y6pdymexns,"2020-02-13 08:26:11",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aknd1tz3ty,"2020-02-13 08:26:25",9xrw9wch,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kx6cztan3n,"2020-02-13 08:26:42",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92tkm9r7ww,"2020-02-13 08:26:47",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w761fksp3x,"2020-02-13 08:26:55",9xrw9wch,0,5,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
tpmmtwfcdd,"2020-02-13 08:27:17",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f6w1ksnt5,"2020-02-13 08:27:21",9xrw9wch,1,5,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1
6ftm2spfra,"2020-02-13 08:27:26",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yc4pmh5rzy,"2020-02-13 08:27:41",9xrw9wch,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
6zfz59t9ep,"2020-02-13 08:27:49",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
