voterID,voteTime,pollID,"Judge Jim Gray","Jacob Hornberger","Adam Kokesh","Arvin Vohra","Dan Behrman","Jo Jorgensen","Brian Ellison","Erik Gerhardt","Jedidiah Hill","Keenan Dunham","John Monds","Kenneth Blevins","Louis Vanacore","Phil Gray","Sorinne Ardeleanu","Sam Robb","Souraya Faas","Steve Richey","Vermin Supreme"
6rs7yxk629,"2020-05-16 14:28:47",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nd1mm3ta1x,"2020-05-16 14:31:05",dd1wc4yx,4,0,1,0,2,4,0,0,0,0,4,0,0,0,5,4,5,0,2
1cefkzenxd,"2020-05-16 14:31:06",dd1wc4yx,5,0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1
sdk5f6h5c4,"2020-05-16 14:31:13",dd1wc4yx,1,1,0,0,2,2,1,0,0,0,2,0,0,0,1,1,0,0,2
5xnmyynre4,"2020-05-16 14:32:57",dd1wc4yx,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1stcwwceaz,"2020-05-16 14:33:04",dd1wc4yx,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1
595p4kcpx1,"2020-05-16 14:36:25",dd1wc4yx,4,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
wcfpcrskr1,"2020-05-16 14:42:31",dd1wc4yx,5,2,1,0,3,5,0,0,0,0,4,0,0,0,0,4,0,0,0
smemh561mh,"2020-05-16 14:44:42",dd1wc4yx,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
517x7z6zt4,"2020-05-16 15:06:02",dd1wc4yx,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3
x6za2txehx,"2020-05-16 15:08:37",dd1wc4yx,5,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
m2tytw5as9,"2020-05-16 15:09:52",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6hyak5c25,"2020-05-16 15:10:03",dd1wc4yx,4,3,1,1,1,3,0,1,1,1,4,1,1,3,1,1,1,1,1
6p2wnhsdcr,"2020-05-16 15:10:09",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
a1sczd45ty,"2020-05-16 15:11:14",dd1wc4yx,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
shhypt2t5f,"2020-05-16 15:11:16",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k2afds3wa9,"2020-05-16 15:12:48",dd1wc4yx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f15p2whr4p,"2020-05-16 15:12:59",dd1wc4yx,5,4,3,1,3,5,0,0,0,0,2,0,0,0,0,3,0,0,3
m1z956d9cx,"2020-05-16 15:13:12",dd1wc4yx,3,5,4,2,3,2,1,1,1,1,4,1,1,1,1,1,1,1,3
fzn6tesd27,"2020-05-16 15:13:36",dd1wc4yx,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7166df31kn,"2020-05-16 15:13:58",dd1wc4yx,2,5,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
akf25nxftn,"2020-05-16 15:14:20",dd1wc4yx,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
4cz6a72f3w,"2020-05-16 15:14:44",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
em7ha5k4t7,"2020-05-16 15:15:10",dd1wc4yx,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w4rk6x37xs,"2020-05-16 15:17:11",dd1wc4yx,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
rwzemszptz,"2020-05-16 15:17:25",dd1wc4yx,0,3,2,1,1,3,1,1,1,1,1,3,1,5,1,1,1,1,1
9dsd7t54rf,"2020-05-16 15:17:57",dd1wc4yx,5,3,3,5,3,5,3,0,0,0,3,0,0,0,3,0,0,0,5
xm9hw7dkrx,"2020-05-16 15:18:07",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsprrnm1nn,"2020-05-16 15:18:57",dd1wc4yx,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47y4phm44n,"2020-05-16 15:19:23",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z19ac13zkd,"2020-05-16 15:19:48",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5pd4dcx2nr,"2020-05-16 15:20:39",dd1wc4yx,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1nrt4et5x2,"2020-05-16 15:21:07",dd1wc4yx,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ny1as7sf6d,"2020-05-16 15:21:48",dd1wc4yx,0,5,3,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,2
2a411zdr27,"2020-05-16 15:21:50",dd1wc4yx,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
nzra3aam23,"2020-05-16 15:22:24",dd1wc4yx,5,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
