voterID,voteTime,pollID,"Loren Culp","Tim Eyman","Phil Fortunato","Joshua Freed","Raul Garcia","Anton Sakharov"
z42sczzex4,"2020-07-16 17:40:30",swzw2ts6,2,3,3,4,0,0
9xae9aep7n,"2020-07-16 18:26:45",swzw2ts6,0,2,2,5,0,0
2rfmsr3rxa,"2020-07-16 18:32:17",swzw2ts6,4,3,4,5,1,2
t2tfsspcrr,"2020-07-16 18:32:39",swzw2ts6,5,0,0,5,0,0
e2wenc7ysn,"2020-07-16 18:33:46",swzw2ts6,0,0,3,5,0,0
421p7nsedr,"2020-07-16 18:36:36",swzw2ts6,0,5,4,5,0,0
sd272ysxds,"2020-07-16 18:38:19",swzw2ts6,1,3,4,5,1,1
h52s46kdek,"2020-07-16 18:41:51",swzw2ts6,5,4,3,2,1,1
z33m5myc3r,"2020-07-16 18:42:36",swzw2ts6,3,3,4,5,1,3
4nkx73wxme,"2020-07-16 18:44:31",swzw2ts6,0,1,4,4,0,0
1nr1zdyaem,"2020-07-16 18:46:20",swzw2ts6,0,0,0,5,0,0
en3f11e6fm,"2020-07-16 18:50:56",swzw2ts6,0,0,3,5,0,0
333a216t3e,"2020-07-16 18:55:58",swzw2ts6,1,4,4,5,1,3
3xywt56scw,"2020-07-16 19:24:44",swzw2ts6,2,3,4,5,0,1
takx73mknd,"2020-07-16 19:26:50",swzw2ts6,2,0,3,5,4,1
nzh4h23re7,"2020-07-16 19:32:25",swzw2ts6,0,0,0,0,0,0
ymdrcp345m,"2020-07-16 19:38:06",swzw2ts6,0,0,0,5,0,0
krnzwke962,"2020-07-16 19:42:18",swzw2ts6,0,0,0,5,0,0
fschdwwynp,"2020-07-16 20:19:46",swzw2ts6,4,1,4,5,1,1
rwa1m9cns2,"2020-07-16 20:23:28",swzw2ts6,0,0,0,5,0,0
mn72psk7p6,"2020-07-16 20:28:44",swzw2ts6,5,0,0,0,0,0
ptxxwyyhhm,"2020-07-16 20:29:43",swzw2ts6,2,4,3,5,1,1
2m2y92c1zc,"2020-07-16 20:35:02",swzw2ts6,5,0,0,1,1,1
fy463h7y3d,"2020-07-16 20:40:09",swzw2ts6,0,2,2,5,0,2
fkhs21zhra,"2020-07-16 20:41:34",swzw2ts6,5,0,0,0,0,0
thctsscd7k,"2020-07-16 20:46:10",swzw2ts6,3,4,4,5,1,4
3zscad2mk4,"2020-07-16 20:59:21",swzw2ts6,1,2,3,5,2,2
a31y3h3pft,"2020-07-16 21:08:37",swzw2ts6,0,0,0,0,0,0
5c2wnh517r,"2020-07-16 21:18:26",swzw2ts6,0,0,0,2,0,0
r55xrdskxh,"2020-07-16 21:19:33",swzw2ts6,5,3,1,5,1,1
4ee14czef4,"2020-07-16 21:24:45",swzw2ts6,0,5,4,5,0,0
52tztnhmmn,"2020-07-16 21:26:30",swzw2ts6,0,0,0,5,0,0
ws2fppnezp,"2020-07-16 21:36:28",swzw2ts6,0,0,0,5,0,0
zmr1356r6f,"2020-07-16 21:47:24",swzw2ts6,0,3,3,5,0,3
d2eh57n7em,"2020-07-16 22:01:49",swzw2ts6,1,3,3,5,1,2
wcm7fkz97s,"2020-07-16 22:27:23",swzw2ts6,0,0,0,5,0,0
9p5y92atth,"2020-07-16 22:38:41",swzw2ts6,0,1,2,1,1,0
cht474d5zd,"2020-07-16 23:00:13",swzw2ts6,2,3,3,4,0,0
wk63p1mkdn,"2020-07-16 23:09:51",swzw2ts6,0,0,0,5,0,0
tf3tpsaffa,"2020-07-16 23:12:15",swzw2ts6,5,0,0,0,0,0
dwa3aphm4e,"2020-07-16 23:15:00",swzw2ts6,0,0,0,5,0,0
xmnp5rhd15,"2020-07-16 23:15:09",swzw2ts6,4,0,0,5,4,0
syak7xw4tm,"2020-07-16 23:16:17",swzw2ts6,1,1,2,5,1,1
2zxdrcaxea,"2020-07-16 23:16:48",swzw2ts6,0,3,5,5,0,0
a4hk54te3c,"2020-07-16 23:17:08",swzw2ts6,0,0,0,5,0,0
py3da9ah9w,"2020-07-16 23:22:18",swzw2ts6,2,5,1,3,1,1
r6fse9mch3,"2020-07-16 23:25:27",swzw2ts6,5,0,0,0,0,0
7e4yw2s15n,"2020-07-16 23:31:33",swzw2ts6,5,0,0,2,0,0
6at6w9mh5x,"2020-07-16 23:37:54",swzw2ts6,1,3,3,5,2,2
pa97dp5574,"2020-07-16 23:42:14",swzw2ts6,4,5,0,0,0,0
xww32cx43e,"2020-07-16 23:47:31",swzw2ts6,2,5,2,2,0,0
ysmhax2xd5,"2020-07-17 00:03:53",swzw2ts6,0,0,0,5,0,0
6e3zefmadc,"2020-07-17 00:12:39",swzw2ts6,5,4,3,1,3,2
1s2nxhaa72,"2020-07-17 00:15:42",swzw2ts6,5,0,0,0,0,0
swce4e46ya,"2020-07-17 00:16:20",swzw2ts6,1,4,5,4,0,2
tk62adx93f,"2020-07-17 00:17:05",swzw2ts6,5,0,0,0,0,0
2zksts5eke,"2020-07-17 00:22:01",swzw2ts6,5,0,1,2,1,1
cn62m9ya41,"2020-07-17 00:23:55",swzw2ts6,0,0,0,4,5,0
pxfn2215dz,"2020-07-17 00:24:37",swzw2ts6,5,0,0,0,0,0
m5x1s9sz29,"2020-07-17 00:38:31",swzw2ts6,5,0,0,0,0,0
e3cm2xr374,"2020-07-17 00:48:18",swzw2ts6,5,0,0,0,0,0
kra4kmf9r9,"2020-07-17 00:48:35",swzw2ts6,5,2,3,3,3,3
eyt1ftd5ks,"2020-07-17 00:50:35",swzw2ts6,5,0,0,0,0,0
2xk33kfsae,"2020-07-17 00:52:02",swzw2ts6,0,0,0,5,0,0
apfkwnefzy,"2020-07-17 00:52:02",swzw2ts6,5,0,0,0,0,0
pn6xrkrkc2,"2020-07-17 00:57:38",swzw2ts6,5,0,0,0,0,0
pkcr5tf6fc,"2020-07-17 00:58:55",swzw2ts6,5,2,0,0,0,0
apzkk6dfzz,"2020-07-17 01:13:17",swzw2ts6,5,0,0,0,0,0
h4rmds3yk2,"2020-07-17 01:13:31",swzw2ts6,5,0,0,0,0,0
p2ec9snt19,"2020-07-17 01:15:45",swzw2ts6,5,0,0,0,0,0
h53aw2h5x1,"2020-07-17 01:16:33",swzw2ts6,5,0,0,0,0,0
3r2e5kzx23,"2020-07-17 01:22:11",swzw2ts6,5,0,0,0,0,0
c63fhs4yd3,"2020-07-17 01:43:58",swzw2ts6,5,0,0,0,0,0
6pyd4fzewa,"2020-07-17 01:52:30",swzw2ts6,0,0,0,0,0,0
52edwpxrrs,"2020-07-17 02:13:28",swzw2ts6,5,5,3,3,3,4
ef4awc5da1,"2020-07-17 02:14:29",swzw2ts6,5,1,0,1,0,0
f73wd54dk3,"2020-07-17 02:24:16",swzw2ts6,0,5,1,4,1,1
5wrmwy2r3m,"2020-07-17 02:53:14",swzw2ts6,5,5,3,3,3,5
z4ny9hsc5x,"2020-07-17 03:47:51",swzw2ts6,5,0,0,0,0,0
emsx1xs6dx,"2020-07-17 03:51:10",swzw2ts6,5,0,0,0,0,0
ez49nnstf6,"2020-07-17 04:10:06",swzw2ts6,5,0,0,0,0,0
k7d6nf44pt,"2020-07-17 04:24:10",swzw2ts6,5,0,0,0,0,0
c4hfpz57t5,"2020-07-17 04:30:12",swzw2ts6,0,0,0,5,0,0
zke4y3wz42,"2020-07-17 04:39:43",swzw2ts6,5,0,0,0,0,0
td7n426r27,"2020-07-17 05:03:11",swzw2ts6,5,0,0,5,0,0
5fepdn5fy9,"2020-07-17 05:15:42",swzw2ts6,5,0,0,0,0,0
ck61n5rn7h,"2020-07-17 05:19:30",swzw2ts6,5,0,0,1,0,0
9t62x2hsst,"2020-07-17 05:19:56",swzw2ts6,5,0,0,0,0,0
